class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Eng. Dynamics & Tribology,Durham University,LEAD ORGANISATION,Jon,Trevelyan,A Partition of Unity Boundary Element Method for Fracture and Fatigue Analysis,Mechanical engineering,Closed,EPSRC,10/31/2009,Research Grant,Standard Research,11/1/2006,79862.4
Energy Efficiency,Yorkshire Water,PROJECT PARTNER,Elise,Cartmell,Network for the sustainable use of energy in water and wastewater treatment,Energy,Closed,EPSRC,10/31/2009,Research Grant,Network,11/1/2006,91652.19
Materials Synthesis & Growth,University of Oxford,LEAD ORGANISATION,Harry,Anderson,Porphyrin single molecule wires for nanoelectronics,Materials sciences,Closed,EPSRC,1/31/2010,Research Grant,Standard Research,11/1/2006,322871.7
Materials Characterisation,University of Liverpool,LEAD ORGANISATION,Richard,Nichols,Porphyrin single molecule wires for nanoelectronics,Materials sciences,Closed,EPSRC,2/28/2010,Research Grant,Standard Research,11/1/2006,172938.66
Atmospheric Kinetics,University of Reading,LEAD ORGANISATION,George,Marston,Gas-Phase Ozonolysis of Alkenes: Intermediates and Stable Products in the Troposphere,Atmospheric phys. & chemistry,Closed,NERC,2/28/2010,Research Grant,Standard Grant (FEC),11/1/2006,254253.33
Energy Efficiency,University of Southampton,LEAD ORGANISATION,Neil,White,Highly-efficient thermoelectric power harvesting,Energy,Closed,EPSRC,4/30/2010,Research Grant,Standard Research,11/1/2006,553114.2
Fundamentals of Computing,University of Oxford,LEAD ORGANISATION,Jeremy,Gibbons,Generic and Indexed Programming,Info. & commun. Technol.,Closed,EPSRC,4/30/2010,Research Grant,Standard Research,11/1/2006,343961.28
Digital Signal Processing,Durham University,LEAD ORGANISATION,S,Salous,An experimental investigation into the feasibility of MIMO techniques within the HF band,Info. & commun. Technol.,Closed,EPSRC,4/30/2010,Research Grant,Standard Research (Pre-FEC),11/1/2006,198275.0118
Materials Characterisation,Imperial College London,LEAD ORGANISATION,John,Kilner,Characterization and optimization of new fluorite-related oxide ion conductors,Materials sciences,Closed,EPSRC,4/30/2010,Research Grant,Standard Research,11/1/2006,139894.51
Medical science & disease,University of Birmingham,LEAD ORGANISATION,Tim,Button,Ultrasonic arrays for ultrahigh resolution real time biomedical imaging,Medical & health interface,Closed,EPSRC,4/30/2010,Research Grant,Standard Research (Pre-FEC),11/1/2006,336060.9614
Energy Efficiency,University of Cambridge,LEAD ORGANISATION,Colin,Humphreys,Materials Challenges in GaN-based Light Emitting Structures,Energy,Closed,EPSRC,9/30/2010,Research Grant,Standard Research,11/1/2006,1362142.51
