class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Med.Instrument.Device& Equip.,University of Birmingham,LEAD ORGANISATION,Damien,Walmsley,Sonochemical Analysis of the Output of Ultrasonic Dental Scalers,Medical & health interface,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,90569.238
Magnetism/Magnetic Phenomena,Loughborough University,LEAD ORGANISATION,A,Alexandrov,Magnetic quantum oscillations in nanowires,"Supercond, magn. &quant.fluids",Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,160723.95
Fundamentals of Computing,University of Edinburgh,LEAD ORGANISATION,Mary,Cryan,Counting and Sampling of Lattice Points in Polytopes,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Research Grant,First Grant Scheme Pre-FEC,3/1/2006,80933.4792
Heat & Mass Transfer,Wieland-Werke AG,PROJECT PARTNER,Peter,Kew,Boiling and Condensation in Microchannels,Mechanical engineering,Closed,EPSRC,5/31/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,230787.6
Palaeoenvironments,University of St Andrews,LEAD ORGANISATION,Michael,Bird,Cave guano - a new; unexploited terrestrial environmental proxy in the tropics.,Climate & climate change,Closed,NERC,7/31/2009,Research Grant,Standard Grants Pre FEC,3/1/2006,222982.76
Microsystems,GSPK Design,COLLABORATOR,A,Purvis,Maskless Non-Planar Photolithography (3DML),Info. & commun. Technol.,Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,242282.38
Materials Processing,University of Surrey,LEAD ORGANISATION,Geoffrey,Grime,MeV ion nanobeams: nanotechnology for the 21st century,Materials processing,Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,256844.5012
Materials Characterisation,Imperial College London,LEAD ORGANISATION,John,Pendry,High Performance RF Metamaterials,Materials sciences,Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),3/1/2006,474256.44
Materials Synthesis & Growth,University of Cambridge,LEAD ORGANISATION,Michael,Pepper,Physics and Technology of Semiconductor Quantum Nanostructures,Materials sciences,Closed,EPSRC,2/28/2010,Research Grant,Standard Research (Pre-FEC),3/1/2006,4396812.179
Scattering & Spectroscopy,CERN,PROJECT PARTNER,Paul,Nolan,Trapped Antihydrogen - Towards Spectroscopy,Atomic & molecular physics,Closed,EPSRC,2/28/2010,Research Grant,Standard Research (Pre-FEC),3/1/2006,1063702.014
Instrumentation Eng. & Dev.,University Hospitals of Leicester NHS Trust,COLLABORATOR,Nigel,Bannister,Sensors in Extreme Environments,Chemical measurement,Closed,EPSRC,2/28/2011,Research Grant,Standard Research (Pre-FEC),3/1/2006,543676.094
Materials Synthesis & Growth,Qinetiq Ltd,COLLABORATOR,John,Goodby,Liquid Crystals (LCs) at Various Wavelengths of Light,Materials sciences,Closed,EPSRC,2/28/2011,Research Grant,Platform Grants (Pre-FEC),3/1/2006,423562.81
Optical Phenomena,Imperial College London,LEAD ORGANISATION,Paul Nicholas,Stavrinou,Metallic nanoscale photonics and enhanced electromagnetic fields,"Optics, photonics & lasers",Closed,EPSRC,2/28/2011,Research Grant,Standard Research (Pre-FEC),3/1/2006,229871.56
Catalysis & Applied Catalysis,University of York,COLLABORATOR,Peter,Styring,BIOMIMETIC HETEROGENEOUS CATALYSIS FOR ENANTIOSELECTIVE OXIDATIONS,Catalysis & surfaces,Closed,EPSRC,7/2/2008,Research Grant,Standard Research (Pre-FEC),3/3/2006,60316.7744
Vision & Senses - ICT appl.,Glasgow Caledonian University,LEAD ORGANISATION,Alexander,Logvinenko,Geometrical manifold of achromatic colours of objects under natural illuminations,Info. & commun. Technol.,Closed,EPSRC,9/7/2009,Research Grant,Standard Research (Pre-FEC),3/8/2006,172441.945
Scattering & Spectroscopy,University of Nottingham,LEAD ORGANISATION,Edward,Armour,A Theoretical Investigation of Positron Annihilation in Molecules,Atomic & molecular physics,Closed,EPSRC,3/7/2010,Research Grant,Standard Research (Pre-FEC),3/8/2006,75583.84
Catalysis & Applied Catalysis,University of Birmingham,LEAD ORGANISATION,Melanie,Britton,Magnetic Resonance Investigation of Pattern Formation in the Belousov-Zhabotinsky Reaction Dispersed in an AOT Water-in-Oil Microemulsion.,Catalysis & surfaces,Closed,EPSRC,3/14/2009,Research Grant,First Grant Scheme Pre-FEC,3/15/2006,125587.55
Surfaces & Interfaces,University of Birmingham,LEAD ORGANISATION,Sarah,Horswell,Self-Organisation of Phospholipid Films on Au Electrodes Studied with In Situ Infrared Spectroscopy,Catalysis & surfaces,Closed,EPSRC,9/14/2009,Research Grant,First Grant Scheme Pre-FEC,3/15/2006,121352.3
High Performance Computing,University of Exeter,LEAD ORGANISATION,Philippe,Young,Ultrascalable Modelling of Advanced Materials with Complex Architectures,"Tools, technologies & methods",Closed,EPSRC,3/15/2008,Research Grant,Standard Research (Pre-FEC),3/16/2006,138919.2818
Plasmas - Technological,University of Liverpool,LEAD ORGANISATION,James,Bradley,3rd INTERACT travel grant: Starting point for collaboration with a Japanese network in microplasmas,Plasma physics,Closed,EPSRC,6/24/2006,Research Grant,Overseas Travel Grants Pre-FEC,3/25/2006,13313.78
Fundamentals of Computing,University of Leeds,LEAD ORGANISATION,Natalia,Shakhlevich,Inverse Optimisation in Application to Scheduling,Info. & commun. Technol.,Closed,EPSRC,6/26/2009,Research Grant,Mathematics Small Grant PreFEC,3/27/2006,9960.09
Data Handling & Storage,University of Nottingham,FELLOW,Michael,Merrifield,Dynamical Studies of Galaxy Evolution,Astronomy Observation,Closed,STFC,3/30/2009,Fellowship,Senior Research,3/31/2006,118692.06
Optical Devices & Subsystems,Rolls Royce Group Plc,COLLABORATOR,Matthew,Clark,Cheap Optical Transducers (CHOTs),Electrical engineering,Closed,EPSRC,3/30/2009,Research Grant,Standard Research (Pre-FEC),3/31/2006,305913.0964
Biomaterials,The University of Manchester,LEAD ORGANISATION,Nicola,Tirelli,Biomimetic and Bioresponsive Formation; Activity and Degradation (BBFAD) of Biomedical Materials,Atomic & molecular physics,Closed,EPSRC,9/29/2009,Research Grant,Standard Research (Pre-FEC),3/31/2006,358825.33
Materials Characterisation,Imperial College London,LEAD ORGANISATION,Thomas,Anthopoulos,Ambipolar Charge Transport in Organic Semiconductors and Devices,Materials sciences,Closed,EPSRC,3/23/2010,Fellowship,Advanced Fellowship (Pre-FEC),3/31/2006,238760.7
Electronic Devices & Subsys.,Building Research Establishment Ltd BRE,PROJECT PARTNER,Susan,Taylor,Corrosion monitoring systems for structures in extreme marine environments,Info. & commun. Technol.,Closed,EPSRC,3/30/2010,Research Grant,Standard Research (Pre-FEC),3/31/2006,244788.4176
Fundamentals of Computing,University of Cambridge,LEAD ORGANISATION,Pawel,Sobocinski,Foundations of Process Calculi and Contextual Systems,Info. & commun. Technol.,Closed,EPSRC,2/28/2007,Fellowship,Postdoc Research Fellowship,4/1/2006,209614.78
Civil Engineering Materials,Imperial College London,LEAD ORGANISATION,Nick,Buenfeld,Equipment to image capillary pores and micro-cracks in concrete,Materials processing,Closed,EPSRC,3/31/2007,Research Grant,Standard Research (Pre-FEC),4/1/2006,397796.74
Optical Devices & Subsystems,University of Surrey,LEAD ORGANISATION,Graham,Reed,A Novel Optical Coupler for Nanophotonics,Electrical engineering,Closed,EPSRC,9/30/2007,Research Grant,Standard Research (Pre-FEC),4/1/2006,59820.3576
Fusion,EURATOM/CCFE,LEAD ORGANISATION,Christopher,Llewellyn-Smith,UK Fusion Programme,Atomic & molecular physics,Closed,EPSRC,3/31/2008,Research Grant,Fusion,4/1/2006,46433000
Sustainable Energy Networks,Dryden Street Nursery,PROJECT PARTNER,I,Cotton,Stimulating Sustainability,Energy,Closed,EPSRC,3/31/2008,Research Grant,PPE PreFEC,4/1/2006,54176.2416
Vision & Senses - ICT appl.,Goldsmiths College,LEAD ORGANISATION,Geraint,Wiggins,Modelling Melodic Memory and the Perception of Musical Similarity,Info. & commun. Technol.,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,285684.5232
Materials Characterisation,University College London,LEAD ORGANISATION,Nora,De Leeuw,Computer Simulation Studies Of Radiation Damage Stability (Fission-Track Annealing) and He Diffusion In Apatite Materials,Materials sciences,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,205266.44
Materials Characterisation,University College London,LEAD ORGANISATION,Paul,Warburton,Externally-Shunted High-Gap Josephson Junctions: Design; Fabrication and Noise Measurements,Materials sciences,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,242348.0716
Mathematical Physics,Loughborough University,LEAD ORGANISATION,Evgeny,Ferapontov,Multi-dimensional dispersionless integrable systems: classification; differential geometry; solutions.,Mathematical sciences,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,180939.14
Civil Engineering Materials,Castle Cement,PROJECT PARTNER,Geoffrey,Allen,Characterisation and modelling of dewatering in lime mortar systems.,Materials processing,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,224769.97
Materials Characterisation,Los Alamos National Laboratory,PROJECT PARTNER,John,Durrell,Understanding limiting factors in the performance of high Tc superconductors,Materials sciences,Closed,EPSRC,3/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,141956.39
Materials Processing,RhoMap,COLLABORATOR,Brian Keith,Tanner,Spin@RT: Room Temperature Spintronics,Materials processing,Closed,EPSRC,8/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,157969.9514
Plasmas - Laser & Fusion,University of St Andrews,COLLABORATOR,Alan,Phelps,Beam driven instabilities in magnetized plasmas,Plasma physics,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,295640.2632
Optical Devices & Subsystems,University of Southampton,LEAD ORGANISATION,Wei,Loh,Visible fibre lasers by downconversion,Electrical engineering,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,259054.88
Image & Vision Computing,University of Bath,LEAD ORGANISATION,Peter,Hall,Matching and Painting using Gestalt Models,Info. & commun. Technol.,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,275797.01
Materials Characterisation,University of York,LEAD ORGANISATION,Steven,Tear,Surface magnetic and structural properties studied with metastable de-excitation spectroscopy.,Materials sciences,Closed,EPSRC,9/30/2009,Research Grant,Standard Research (Pre-FEC),4/1/2006,287027.5212
Ecosystem Scale Processes,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Mathew,Williams,Arctic Biosphere-Atmosphere Coupling across multiple Scales (ABACUS).,Terrest. & freshwater environ.,Closed,NERC,3/31/2010,Research Grant,Directed Pre FEC,4/1/2006,271776.21
Instrumentation Eng. & Dev.,University of Leeds,LEAD ORGANISATION,Mi,Wang,PLATFORM: A Research Platform for Next Generation Process Tomography : 2005-2009,Chemical measurement,Closed,EPSRC,9/30/2010,Research Grant,Platform Grants (Pre-FEC),4/1/2006,266334.428
Environment & Health,University of Plymouth,LEAD ORGANISATION,Vasyl,Vlasenko,Boiling Water in the Strait of Gibraltar,Medical & health interface,Closed,NERC,4/2/2007,Research Grant,Small Grants (FEC),4/3/2006,46087.78
Materials Synthesis & Growth,University of St Andrews,LEAD ORGANISATION,Douglas,Philp,Multinuclear NMR in Support of Synthetic and Materials Chemistry at St Andrews,Materials sciences,Closed,EPSRC,4/2/2009,Research Grant,Standard Research (Pre-FEC),4/3/2006,321381.3334
Electronic Devices & Subsys.,Aston University,LEAD ORGANISATION,David,Lowe,Exploiting emergent collective behaviours in complex large MEMS systems,Info. & commun. Technol.,Closed,EPSRC,4/4/2010,Research Grant,Standard Research (Pre-FEC),4/5/2006,241632.91
Materials Characterisation,DOWTY PROPELLERS,PROJECT PARTNER,Len,Gelman,NSF: Fatigue; Damping and Impact Properties of Textile Composites,Materials sciences,Closed,EPSRC,10/5/2009,Research Grant,Standard Research (Pre-FEC),4/6/2006,161819.66
Materials Characterisation,Queen Mary; University of London,LEAD ORGANISATION,Steffi,Krause,Two-photon impedance; potential and fluorescence imaging - a feasibility study,Materials sciences,Closed,EPSRC,4/10/2007,Research Grant,Standard Research (Pre-FEC),4/11/2006,62397.38
Tropospheric Processes,University of Leeds,LEAD ORGANISATION,John Adrian,Pyle,Modelling of atmospheric oxidants and aerosols: deposition; emission and chemical transformation / QUEST,Atmospheric phys. & chemistry,Closed,NERC,6/16/2010,Research Grant,Directed Pre FEC,4/17/2006,261434.03
Design & Testing Technology,University of the West of England,LEAD ORGANISATION,Ian,Parmee,Support for the 7th International Conference on Adaptive Computing in Design and Manufacture (ACDM06),Manufacturing,Closed,EPSRC,10/19/2006,Research Grant,Standard Research (Pre-FEC),4/20/2006,5569.87
Data Handling & Storage,Redfern Optical Components,PROJECT PARTNER,Roger,Haynes,Revolutionary Technologies for Optical-Infrared Astronomy,Astronomy Observation,Closed,STFC,4/23/2009,Research Grant,Standard,4/24/2006,578557.98
Materials Processing,University of Glasgow,LEAD ORGANISATION,John,Chapman,Spin@RT: Room Temperature Spintronics,Materials processing,Closed,EPSRC,10/23/2009,Research Grant,Standard Research (Pre-FEC),4/24/2006,425308.6486
Palaeoenvironments,University of Southampton,LEAD ORGANISATION,Heiko,Pälike,Paleogene orbitally calibrated climate cycles,Climate & climate change,Closed,NERC,4/25/2009,Research Grant,New Investigators Pre FEC,4/26/2006,36084.4
Materials Synthesis & Growth,University of Oxford,LEAD ORGANISATION,John,Foord,Development of Diamond Ultramicroelectrode Tips for use in Scanning Electrochemical Microscopy Studies of Living Cells,Materials sciences,Closed,EPSRC,7/29/2007,Research Grant,Standard Research (Pre-FEC),4/30/2006,72076.7092
Materials Characterisation,European Science Foundation,PROJECT PARTNER,Paul,Warburton,Plasma 2006: The 5th International Symposium on the Intrinsic Josephson Effect and Plasma Oscillations in High Tc Superconductors.,Materials sciences,Closed,EPSRC,7/31/2006,Research Grant,Standard Research,5/1/2006,16873.2
Materials Characterisation,University of Leeds,LEAD ORGANISATION,Animesh,Jha,European Society Glass'2006 Conference in Sept'06 SUNDERLAND (UK),Materials sciences,Closed,EPSRC,11/30/2006,Research Grant,Standard Research,5/1/2006,33568.92
Image & Vision Computing,The University of Manchester,LEAD ORGANISATION,Anthony,Peyton,Pulse Processing Techniques for Ultra Wide Band Electromagnetic Tomography,Info. & commun. Technol.,Closed,EPSRC,4/30/2007,Research Grant,Standard Research (Pre-FEC),5/1/2006,21314.207
Image & Vision Computing,Bangor University,LEAD ORGANISATION,Ludmila,Kuncheva,Classifiers Ensembles for Changing Environments,Info. & commun. Technol.,Closed,EPSRC,5/31/2007,Research Grant,Standard Research (Pre-FEC),5/1/2006,45783.42
Climate & Climate Change,University of Oxford,LEAD ORGANISATION,Beth,Shapiro,Using records of large mammal populations in the Urals to decipher the timing and effects of global climate change.,Climate & climate change,Closed,NERC,10/31/2007,Research Grant,Small Grants Pre FEC,5/1/2006,30919.05
Tropospheric Processes,University of Oxford,LEAD ORGANISATION,Roy,Grainger,Infrared CIrrus CLoud Experiment (ICICLE).,Atmospheric phys. & chemistry,Closed,NERC,12/31/2007,Research Grant,Small Grants Pre FEC,5/1/2006,31070.41
Aerodynamics,Cardiff University,LEAD ORGANISATION,Christopher,Davies,Numerical simulation of transitional boundary-layer flows,Mechanical engineering,Closed,EPSRC,1/31/2008,Research Grant,Standard Research (Pre-FEC),5/1/2006,4936.55
Lasers & Optics,University of Bradford,LEAD ORGANISATION,Edward,Mallen,The role of ocular aberrations and retinal image quality in accommodation response accuracy,"Optics, photonics & lasers",Closed,EPSRC,4/30/2008,Research Grant,First Grant Scheme Pre-FEC,5/1/2006,120426.3
Fundamentals of Computing,The University of Manchester,LEAD ORGANISATION,Jonathan,Shapiro,From Individual to Collective Behaviour in Large-Scale; Complex Systems,Info. & commun. Technol.,Closed,EPSRC,2/28/2009,Research Grant,Standard Research (Pre-FEC),5/1/2006,71685.53
